header.cases,lbm_7139_0.400131,libquantum_64624_0.24316,libquantum_72640_0.114092,mcf_10688_0.135073,omnetpp_20261_0.361193,soplex_pds-50_6802_0.0838684,soplex_pds-50_16031_0.0783077
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,0.8172323536812527,1.3314976867897628,1.4543049850839127,0.7470221640740141,0.9734453398842301,1.2524483958358343,0.8859554908453795
global.l2cache_acq_hit_rate,0.3490934571090383,0.001178274745249895,0.0002988795947821915,0.05934991359888007,0.33544881879526217,0.46507896057147863,0.4227739952244957
global.l2cache_hit_rate,0.34946279975309674,0.0011759816097750271,0.00044149070809223036,0.06417372675041387,0.6259542937913777,0.5025510365994641,0.5442279055330007
global.l2cache_mpki_load,35.04265876066469,25.35319239404228,25.470614008837703,21.622501081125055,22.466696629995507,27.431451371572567,33.33074333385133
global.l3cache_miss,572881,324046,280279,295655,112051,37256,237259
global.l3cache_total,700855,507064,509412,432450,449334,548628,666614
global.T_DCache,166.52163872453207,160.47080891922099,175.22129487605898,120.67716486847218,240.5945585192419,310.5860082344729,379.2385671232083
