header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/lbm_140840000000_0.429260/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.dispatch.MemNotReadyStall,66
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRecoveryStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRedirectBubble,18
core_with_l2.core.backend.ctrlBlock.dispatch.NoStall,21988786
core_with_l2.core.backend.ctrlBlock.dispatch.NumStallReasons,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherCoreStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRecoveryStall,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRedirectBubble,6
core_with_l2.core.backend.ctrlBlock.dispatch.OverrideBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.RASMissBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.SCMissBubble,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_0_1,23955001
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_1_2,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_2_3,8
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_3_4,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_4_5,3
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_5_6,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_6_7,3348951
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_mean,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sampled,27303963
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sum,20093734
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_0_1,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_1_2,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_2_3,8
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_3_4,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_4_5,3
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_5_6,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_6_7,3348951
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_mean,5
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sampled,3348962
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sum,20093734
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_0_1,23955001
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_1_2,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_2_3,8
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_3_4,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_4_5,3
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_5_6,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_6_7,3348951
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_mean,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_overflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sampled,27303963
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sum,20093734
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_underflow,0
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_fp_dq,22529676
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_int_dq,29185
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_ls_dq,451983
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_rob,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_strict_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_store_wait,0
core_with_l2.core.backend.ctrlBlock.dispatch.StoreStall,126048
core_with_l2.core.backend.ctrlBlock.dispatch.TAGEMissBubble,84
core_with_l2.core.backend.ctrlBlock.dispatch.utilization,158159242
core_with_l2.core.backend.ctrlBlock.dispatch.waitInstr,138065502
core_with_l2.core.backend.ctrlBlock.dispatch.waittable_load_wait,0
core_with_l2.core.backend.ctrlBlock.fpDq.empty,963706
core_with_l2.core.backend.ctrlBlock.fpDq.exHalf,22093581
core_with_l2.core.backend.ctrlBlock.fpDq.fake_block,1351262
core_with_l2.core.backend.ctrlBlock.fpDq.full,22640646
core_with_l2.core.backend.ctrlBlock.fpDq.in,13043915
core_with_l2.core.backend.ctrlBlock.fpDq.out,13035264
core_with_l2.core.backend.ctrlBlock.fpDq.out_try,73395812
core_with_l2.core.backend.ctrlBlock.fpDq.util_0_1,963706
core_with_l2.core.backend.ctrlBlock.fpDq.util_1_2,322231
core_with_l2.core.backend.ctrlBlock.fpDq.util_2_3,536626
core_with_l2.core.backend.ctrlBlock.fpDq.util_3_4,408149
core_with_l2.core.backend.ctrlBlock.fpDq.util_4_5,502957
core_with_l2.core.backend.ctrlBlock.fpDq.util_5_6,420300
core_with_l2.core.backend.ctrlBlock.fpDq.util_6_7,667869
core_with_l2.core.backend.ctrlBlock.fpDq.util_7_8,555888
core_with_l2.core.backend.ctrlBlock.fpDq.util_8_9,832656
core_with_l2.core.backend.ctrlBlock.fpDq.util_9_10,1727924
core_with_l2.core.backend.ctrlBlock.fpDq.util_10_11,3610897
core_with_l2.core.backend.ctrlBlock.fpDq.util_11_12,6058131
core_with_l2.core.backend.ctrlBlock.fpDq.util_12_13,1458749
core_with_l2.core.backend.ctrlBlock.fpDq.util_13_14,4016857
core_with_l2.core.backend.ctrlBlock.fpDq.util_14_15,2388486
core_with_l2.core.backend.ctrlBlock.fpDq.util_15_16,2832537
core_with_l2.core.backend.ctrlBlock.fpDq.util_mean,10
core_with_l2.core.backend.ctrlBlock.fpDq.util_overflow,9947
core_with_l2.core.backend.ctrlBlock.fpDq.util_sampled,27303963
core_with_l2.core.backend.ctrlBlock.fpDq.util_sum,285253598
core_with_l2.core.backend.ctrlBlock.fpDq.util_underflow,0
core_with_l2.core.backend.ctrlBlock.fpDq.utilization,285253602
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_zexth_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli1_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli2_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli3_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli4_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_3,0
