header.cases,17520000000_0.126350,191500000000_0.105600,231360000000_0.096362
core_with_l2.core.backend.ctrlBlock.dispatch.IntNotReadyStall,746976,104460,95694
core_with_l2.core.backend.ctrlBlock.dispatch.ITLBMissBubble,2914745,3174870,3569360
core_with_l2.core.backend.ctrlBlock.dispatch.ITTAGEMissBubble,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL1Stall,3013620,27346806,27001086
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL2Stall,675774,7687620,9693660
core_with_l2.core.backend.ctrlBlock.dispatch.LoadL3Stall,9179136,38499036,34369482
core_with_l2.core.backend.ctrlBlock.dispatch.LoadMemStall,7294926,19505970,16118892
core_with_l2.core.backend.ctrlBlock.dispatch.LoadMSHRReplayStall,3528,115758,160314
core_with_l2.core.backend.ctrlBlock.dispatch.LoadTLBStall,9210,2323158,3627846
core_with_l2.core.backend.ctrlBlock.dispatch.LoadVioReplayStall,0,234,0
core_with_l2.core.backend.ctrlBlock.dispatch.LsDqStall,7875222,15422568,15621156
core_with_l2.core.backend.ctrlBlock.dispatch.MemNotReadyStall,1836,13680,10530
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRecoveryStall,11502,7932,3864
core_with_l2.core.backend.ctrlBlock.dispatch.MemVioRedirectBubble,42111,5939,3103
core_with_l2.core.backend.ctrlBlock.dispatch.NoStall,56850617,61198069,64868957
core_with_l2.core.backend.ctrlBlock.dispatch.NumStallReasons,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherCoreStall,16998,156708,121806
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRecoveryStall,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.OtherRedirectBubble,13224,1752,930
core_with_l2.core.backend.ctrlBlock.dispatch.OverrideBubble,54503,1082467,1301688
core_with_l2.core.backend.ctrlBlock.dispatch.RASMissBubble,0,75335,125927
core_with_l2.core.backend.ctrlBlock.dispatch.SCMissBubble,604019,319405,341009
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_0_1,9611079,28601064,26705315
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_1_2,197632,407126,417459
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_2_3,207728,510987,641851
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_3_4,1565,510086,1312851
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_4_5,151778,479166,773741
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_5_6,18674,1034539,1499830
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_6_7,8363516,6210089,5213685
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_mean,2,1,1
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_overflow,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sampled,18551972,37753057,36564732
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_sum,51499361,47309251,47515938
core_with_l2.core.backend.ctrlBlock.dispatch.slots_fire_underflow,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_0_1,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_1_2,197632,407126,417459
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_2_3,207728,510987,641851
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_3_4,1565,510086,1312851
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_4_5,151778,479166,773741
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_5_6,18674,1034539,1499830
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_6_7,8363516,6210089,5213685
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_mean,5,5,4
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_overflow,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sampled,8940893,9151993,9859417
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_sum,51499361,47309251,47515938
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_pure_underflow,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_0_1,9454163,28512362,26635098
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_1_2,197632,407333,417518
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_2_3,207734,511175,646454
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_3_4,1565,510729,1313306
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_4_5,151782,489858,793253
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_5_6,18678,1034817,1499870
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_6_7,8520418,6286783,5259233
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_mean,2,1,1
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_overflow,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sampled,18551972,37753057,36564732
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_sum,52440821,47816085,47878104
core_with_l2.core.backend.ctrlBlock.dispatch.slots_valid_rough_underflow,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_fp_dq,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_int_dq,1309859,4949125,3376269
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_ls_dq,5104059,18812312,18166307
core_with_l2.core.backend.ctrlBlock.dispatch.stall_cycle_rob,156916,88702,70217
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_strict_wait,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_load_wait,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.storeset_store_wait,0,0,0
core_with_l2.core.backend.ctrlBlock.dispatch.StoreStall,7238508,4745898,4774626
core_with_l2.core.backend.ctrlBlock.dispatch.TAGEMissBubble,5591531,6038191,7129167
core_with_l2.core.backend.ctrlBlock.dispatch.utilization,93187624,190117729,176457517
core_with_l2.core.backend.ctrlBlock.dispatch.waitInstr,41688257,142808478,128941579
core_with_l2.core.backend.ctrlBlock.dispatch.waittable_load_wait,0,796,0
core_with_l2.core.backend.ctrlBlock.fpDq.empty,18551973,37753058,36564733
core_with_l2.core.backend.ctrlBlock.fpDq.exHalf,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.fake_block,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.full,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.in,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.out,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.out_try,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_0_1,18551972,37753057,36564732
core_with_l2.core.backend.ctrlBlock.fpDq.util_1_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_2_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_3_4,0,0,0
