header.cases,17520000000_0.126350,191500000000_0.105600,231360000000_0.096362
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_0_0,0,16,1
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_0_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_1_0,0,7,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_1_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_2_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_2_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_3_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_3_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_4_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_4_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_5_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_5_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_6_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_6_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_7_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_7_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_8_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_8_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_9_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_9_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_10_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_10_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_11_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_11_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_12_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_12_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_13_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_13_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_14_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_14_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_15_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_15_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_16_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_16_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_17_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_17_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_18_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_18_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_19_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_19_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_20_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_20_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_21_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_21_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_22_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_22_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_23_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_23_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_24_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_24_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_25_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_25_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_26_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_26_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_27_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_27_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_28_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_28_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_29_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_29_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_30_0,0,632,555
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_30_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_31_0,0,628,575
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.num_wakeup_31_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.oldestSelection.oldest_override_0,0,641,566
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.oldestSelection.oldest_override_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.oldestSelection.oldest_same_as_selected_0,0,641,565
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.oldestSelection.oldest_same_as_selected_1,0,641,566
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.redirect_num,303415,346226,380913
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_0,0,16,1
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_1,0,6,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_2,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_3,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_4,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_5,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_6,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_7,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_8,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_9,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_10,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_11,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_12,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_13,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_14,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_15,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_16,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_17,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_18,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_19,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_20,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_21,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_22,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_23,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_24,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_25,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_26,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_27,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_28,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_29,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_30,0,632,555
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.select_31,0,628,575
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.source_bypass_0_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.source_bypass_0_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.source_bypass_1_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.source_bypass_1_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.srcState_ready_0,19406928,37460921,36829252
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.srcState_ready_1,22779089,34916794,35010943
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.srcState_ready_2,20717739,37360834,36496160
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.srcState_ready_3,21841876,35075355,35209591
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.blocked_entries,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_0_1,18551972,37751775,36563601
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_1_2,0,1282,1131
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_2_3,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_3_4,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_4_5,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_5_6,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_6_7,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_7_8,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_8_9,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_9_10,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_10_11,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_11_12,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_12_13,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_13_14,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_14_15,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_15_16,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_16_17,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_17_18,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_18_19,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_19_20,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_20_21,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_21_22,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_22_23,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_23_24,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_24_25,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_25_26,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_26_27,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_27_28,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_28_29,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_29_30,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_30_31,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_31_32,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_mean,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_overflow,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_sampled,18551972,37753057,36564732
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_sum,0,1282,1131
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.can_issue_entries_underflow,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_0_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_0_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_1_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_1_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_2_0,0,631,555
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_2_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_3_0,0,8,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_3_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_4_0,0,636,570
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_4_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_5_0,0,8,6
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_5_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_6_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_6_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_7_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_7_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_8_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_8_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_9_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.critical_wakeup_9_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.not_selected_entries,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.replayed_entries,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.scheduled_entries,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_0_1,18551972,37735701,36545912
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_1_2,0,17356,18820
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_2_3,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_3_4,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_4_5,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_5_6,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_6_7,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_7_8,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_8_9,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_9_10,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_10_11,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_11_12,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_12_13,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_13_14,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_14_15,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_15_16,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_16_17,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_17_18,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_18_19,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_19_20,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_20_21,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_21_22,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_22_23,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_23_24,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_24_25,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_25_26,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_26_27,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_27_28,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_28_29,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_29_30,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_30_31,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_31_32,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_mean,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_overflow,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_sampled,18551972,37753057,36564732
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_sum,0,17356,18820
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.valid_entries_underflow,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wait_for_src_0,0,16074,17689
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wait_for_src_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_0_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_0_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_1_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_1_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_2_0,0,631,555
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_2_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_3_0,0,8,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_3_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_4_0,0,636,570
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_4_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_5_0,0,8,6
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_5_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_6_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_6_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_7_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_7_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_8_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_8_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_9_0,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_1.mulRS_0.statusArray.wakeup_9_1,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.allocate_fire_0,1613102,747830,932577
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.allocate_num,1597012,728728,904160
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.allocate_valid_0,1613102,747830,932577
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.deq_dispatch_bypass_0,1597012,689605,862697
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.deq_fire_0,1567406,696491,862222
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.deq_oldest,0,31801,32383
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.deq_oldest_override_select_0,0,31801,32383
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.deq_select_0,0,1764,2125
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.deq_valid_0,1567406,696529,862253
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.full,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_0,1567388,661219,827487
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_1,18,28205,26875
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_2,0,5643,6839
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_3,0,1254,783
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_4,0,130,169
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_5,0,19,50
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_6,0,18,14
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_7,0,3,5
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_8,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_9,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_10,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_11,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_12,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_13,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_14,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_15,0,0,0
core_with_l2.core.backend.exuBlocks.scheduler.rs_2.jumpRS_0.issue_num_0_1,18551972,37753057,36564732
