header.cases,lbm_7139_0.400131,libquantum_64624_0.24316,libquantum_72640_0.114092,mcf_9294_0.130425,mcf_10688_0.135073,mcf_12253_0.137576,milc_5116_0.0653177,milc_17368_0.149566,soplex_pds-50_5746_0.0724031,soplex_pds-50_6802_0.0838684,soplex_ref_14255_0.329014,sphinx3_41852_0.0724912,sphinx3_82338_0.0994892,sphinx3_142675_0.0883778,sphinx3_182227_0.0733317
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,2.1479441650506073,4.2339029064061515,4.290043368044071,0.34552033913657315,1.7703431844640394,0.3695689375845216,0.8557849220794992,0.7275481075797902,1.197499883692824,1.2081793634355698,1.5782531862169886,3.455203372416868,3.6001711162101557,3.3051991588271505,3.654952360432432
global.l2cache_acq_hit_rate,0.9070498661265421,0.9999723735646587,0.9999134715036097,0.6821551890423718,0.9035434591747147,0.6631335652709114,0.9278537392130214,0.36783646534296344,0.7986343855379443,0.8000376549943006,0.9874340219587451,0.9517732821924494,0.9565078195091262,0.92243873439461,0.9349819903337743
global.l2cache_hit_rate,0.6292740304823258,0.7361694777156492,0.7354257809317682,0.5467134527177363,0.6362226254218794,0.5457588364589248,0.5530405479352977,0.18697217445433031,0.6056692345517128,0.6377423503747052,0.6174335513630005,0.6709574934268185,0.6928278501598312,0.6893337963601084,0.7180615231867435
global.l2cache_mpki_load,40.7208,25.354110141644057,25.493747450625253,187.9891875978375,34.404889678533095,405.352279732386,46.96565,93.5175640276346,60.1453,56.078108411716265,32.3792,15.91855079592754,15.658307046238171,17.355143057942776,14.823001482300148
global.l3cache_miss,287026,1140,1128,1071793,332302,1966173,372368,1869953,343417,252865,637606,25164,10667,26479,17476
global.l3cache_total,814416,507082,509876,3759780,688098,8107047,939314,1870351,1202902,1121560,647583,318371,313167,347102,296460
global.T_DCache,458.31882687022306,591.3227513944365,596.8616345321001,153.53728401022596,269.3955058789539,296.84337563881144,146.34707572729525,252.57054491215163,283.58399021690497,309.00327350206726,365.38768290178893,372.3689998446886,394.90565477331603,385.13231318402103,398.88724818061024
