header.cases,lbm_7139_0.400131,libquantum_64624_0.24316,mcf_10688_0.135073,omnetpp_20261_0.361193,soplex_pds-50_6802_0.0838684,soplex_pds-50_16031_0.0783077
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,0.84033887014629,1.0359403851738958,1.2169777647209585,0.9993861271634707,1.3231027948228316,1.0552475405080533
global.l2cache_acq_hit_rate,0.34906139723946933,0.0011526421953886418,0.05929618511295659,0.33430772584271123,0.46518023143433895,0.4222198720039531
global.l2cache_hit_rate,0.34942335826049503,0.0011503988968777701,0.06468478458619584,0.6252520368907947,0.5027785944776569,0.5396533371880626
global.l2cache_mpki_load,35.04241401696561,25.353291126348108,21.5925,22.516896622465506,27.396797260320273,33.27945166397258
global.l3cache_miss,350373,507056,160396,106973,26439,191167
global.l3cache_total,700848,507065,431850,450338,547936,665592
global.T_DCache,170.85825145663347,124.1256108355597,196.91619294793026,245.72581326033284,327.3575135196284,447.57673259255654
