header.cases,lbm_7139_0.400131,libquantum_64624_0.24316,libquantum_72640_0.114092,mcf_9294_0.130425,mcf_10688_0.135073,milc_5116_0.0653177,milc_17368_0.149566,milc_31721_0.115315,omnetpp_20261_0.361193,soplex_pds-50_2406_0.0668998,soplex_pds-50_5746_0.0724031,soplex_pds-50_6802_0.0838684,soplex_pds-50_16031_0.0783077,soplex_ref_14255_0.329014,sphinx3_41852_0.0724912,sphinx3_82338_0.0994892,sphinx3_142675_0.0883778,sphinx3_182227_0.0733317
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,2.196386153716736,4.256716778142957,4.212075938682277,0.41013373038631357,1.8487574085486727,0.8692301537489873,0.6894553064127871,1.1348159328188834,0.9698050706355099,1.5518820687275976,1.4810283964979603,1.394221470179462,1.167806874600172,1.5750291104755343,3.525548592988812,3.6465936788458087,3.3114938754776206,3.65743006993007
global.l2cache_acq_hit_rate,0.9154275417612827,0.9999625043169372,0.9998820100763395,0.6615985856033887,0.910857402437272,0.9248440498057484,0.3720423026840221,0.4517188531000913,0.592657193266413,0.7934217649194387,0.7944319929574615,0.7993056466546874,0.6885481976691661,0.9873537468113746,0.951549338720128,0.953844264399942,0.9234856009582861,0.9331353676018841
global.l2cache_hit_rate,0.6326060621896341,0.7361283605650687,0.7352393603900269,0.5598527869591491,0.6448651481837601,0.5522525049320336,0.1899958535066258,0.4115910932375547,0.5131237348649558,0.5796280269359805,0.6106975789959587,0.6391787149659345,0.575538838722614,0.6188404235969719,0.6720561578801472,0.6905176322169876,0.6922402169480394,0.7189195494518938
global.l2cache_mpki_load,40.77630407763041,25.357543660614084,25.491302549130253,171.34910575799182,34.5893,47.17339764133012,94.15716883143376,32.71580654316131,54.22655,60.95836523959131,59.2041,55.78792768482893,73.24246464849293,32.3772,15.91195,15.700357065160679,17.24434224004599,14.819251481925148
global.l3cache_miss,176174,1218,1164,790957,264899,376344,1882667,515829,389347,40907,58486,101496,272545,637491,16726,4294,26418,17313
global.l3cache_total,815525,507151,509826,3426984,691786,943463,1883141,654316,1084531,1219166,1184081,1115753,1464849,647544,318238,314007,344887,296385
global.T_DCache,466.409991098046,594.8142475680319,590.2958815159768,181.4553153497037,281.24951819070986,148.62133698282491,244.25577404283678,185.14289241942805,242.6663192178367,355.9013431077098,349.2274627095563,353.14267446008273,501.1268600539667,364.68958869532304,379.70517106314327,399.90807079062563,386.30278531280277,399.3401410305176
