header.cases,lbm_7139_0.400131,libquantum_64624_0.24316,libquantum_72640_0.114092,mcf_9294_0.130425,mcf_10688_0.135073,milc_5116_0.0653177,milc_17368_0.149566,milc_31721_0.115315,omnetpp_20261_0.361193,soplex_pds-50_2406_0.0668998,soplex_pds-50_5746_0.0724031,soplex_pds-50_6802_0.0838684,soplex_pds-50_16031_0.0783077,soplex_ref_14255_0.329014,sphinx3_41852_0.0724912,sphinx3_82338_0.0994892,sphinx3_142675_0.0883778,sphinx3_182227_0.0733317
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,2.0564917161441363,4.407794656694471,4.401826625720881,0.369290488299065,1.7365006636035958,0.9198963460797237,0.7472223311921673,1.1748956956869456,0.9396787802218299,1.5446549826875027,1.4716098138420943,1.3138364591475014,0.901341091957662,1.5707165656093807,3.5225095415981977,3.6450571180707434,3.3129520004677886,3.6613067571253612
global.l2cache_acq_hit_rate,0.8930938847241673,0.9999704021168406,0.9998820144846884,0.6617606266231627,0.9020312488968278,0.9261571667216936,0.35757125397951023,0.47394299022322545,0.5942484123722275,0.8004140936877258,0.7958963801854798,0.7963765934772175,0.6865870612656878,0.9877003494699941,0.9499805786791978,0.9535793390956753,0.9232903068519507,0.9375198571381619
global.l2cache_hit_rate,0.6263589391485853,0.7163827375416695,0.7355256159795353,0.5600873468335235,0.628612577283587,0.5521202829333633,0.17675533891915426,0.408490314970258,0.5148041256285361,0.5797605591281294,0.6105804943259189,0.6415152872937913,0.5716366394710272,0.6161934306872185,0.6686032222688061,0.6934175242148576,0.6904661763637652,0.7209116168298492
global.l2cache_mpki_load,40.759693886045916,25.357952535795253,25.484946177258074,171.61990560905193,34.24529315094137,46.94505,96.90311938062388,32.89480328948033,54.26779728661013,61.17706529426632,59.39695,56.04455280222764,74.20380371019019,32.3775,16.04600080230004,15.617257027765662,17.25794741130789,14.765451476545147
global.l3cache_miss,471359,653,614,920809,386890,365202,1901850,499680,384732,42896,61228,138541,496675,639645,17349,4496,26453,16740
global.l3cache_total,815194,507159,509701,3432400,684906,938903,1938061,657896,1085357,1223541,1187935,1120891,1484078,647550,320918,312343,345158,295309
global.T_DCache,438.85055456375545,615.1583720778523,616.8547342408577,163.5840626647208,264.5607187305349,157.1433288657034,256.093463783434,191.57827819723516,236.97375787392048,353.38070935517436,346.3751517505645,334.18554130787436,388.5193792625831,363.4625868665163,379.39551056136474,399.72010614411107,386.32894659903167,399.29093075919036
