header.cases,lbm_7139_0.400131,libquantum_64624_0.24316,libquantum_72640_0.114092,mcf_9294_0.130425,mcf_10688_0.135073,mcf_12253_0.137576,milc_5116_0.0653177,milc_17368_0.149566,milc_31721_0.115315,omnetpp_20261_0.361193,soplex_pds-50_2406_0.0668998,soplex_pds-50_5746_0.0724031,soplex_pds-50_6802_0.0838684,soplex_pds-50_16031_0.0783077,soplex_ref_14255_0.329014,sphinx3_41852_0.0724912,sphinx3_82338_0.0994892,sphinx3_142675_0.0883778,sphinx3_182227_0.0733317
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,2.16144429408,4.212327463032607,4.181876499986827,0.3543516275488673,1.7739486319622695,0.4033754262418773,0.9081613234162722,0.7176379245577995,1.1610278534687424,0.8869303746526005,1.2395971432237096,1.1818987013533448,1.2727125613248684,1.0279277167397154,1.5746262328833183,3.468699926064661,3.5989078389466425,3.3040057251785444,3.6518924473743986
global.l2cache_acq_hit_rate,0.9145851276306209,0.9999684251864394,0.9998938038478405,0.6776340048287212,0.9037638138485364,0.6651147614542222,0.9249056566817268,0.36304181538434577,0.4697477115427551,0.5926297674683593,0.8024795532471423,0.7936151137223897,0.7989926491997895,0.6866874346837992,0.9874670815062688,0.952833897606388,0.9544988918068205,0.9246209758078092,0.9373488218211227
global.l2cache_hit_rate,0.6315065169648009,0.7360191537411538,0.7353465450895706,0.5456324259049713,0.637231840691258,0.5441190331972582,0.5561272045140966,0.18548271159393123,0.4081254435530961,0.5136436748430703,0.5735399371784475,0.6032112678478645,0.6388567694013096,0.5733270850466824,0.620901093665961,0.6719840396200736,0.6928870507038538,0.6942801035883935,0.7195288094617336
global.l2cache_mpki_load,40.78074184385163,25.353755070751014,25.48495,188.54533770906755,34.80013955995813,404.5777511444378,46.5024,93.2011139801671,32.942854941428244,54.170086457478384,61.40141535035384,59.98535,55.92200838830126,73.5672,32.38750485812573,15.8825,15.601007020453158,17.09389230774846,14.791701479170149
global.l3cache_miss,228716,1205,1203,1025844,350792,1738904,361584,1863710,521500,474404,354703,375252,194551,385320,637543,25314,12350,25770,16911
global.l3cache_total,815615,507075,509699,3770906,696003,8091557,930048,1864022,658857,1083400,1228028,1199707,1118437,1471344,647749,317650,312019,341877,295834
global.T_DCache,458.8785573313258,588.7934004609972,582.5780315154577,157.3795930026241,270.3758937483142,318.0163966504503,155.3586838998754,251.17031671124573,189.2816302784035,224.2682672799493,285.9792340155458,280.42702094631795,324.3101791884102,441.9175790081947,364.7466768492512,373.6000051336759,394.772935265156,385.2083245708388,398.09539474404977
