header.cases,astar_biglakes_3267_0.388983,astar_rivers_9999_0.357816,bwaves_37801_0.706046,bzip2_chicken_2820_0.251106,bzip2_chicken_3301_0.196239,bzip2_combined_7116_0.197169,bzip2_combined_12694_0.14641,bzip2_html_9573_0.165534,bzip2_html_12894_0.292959,bzip2_liberty_4623_0.329457,bzip2_program_1805_0.0897391,bzip2_program_16771_0.176121,bzip2_program_19673_0.104288,bzip2_source_8439_0.308769,cactusADM_128904_0.670681,calculix_3486_0.0949495,calculix_13476_0.16078,calculix_28512_0.138631,dealII_5820_0.110044,dealII_29521_0.100244,dealII_55586_0.124194,gamess_cytosine_43625_0.083133,gamess_cytosine_49357_0.0811089,gamess_cytosine_52071_0.0713518,gamess_cytosine_60738_0.0766336,gamess_gradient_32473_0.0898009,gamess_gradient_33957_0.0960057,gamess_gradient_39862_0.11873,gamess_triazolium_48031_0.0998406,gamess_triazolium_63874_0.0812589,gamess_triazolium_175608_0.0779786,gamess_triazolium_193880_0.109002,gcc_166_2274_0.148349,gcc_166_2766_0.161613,gcc_200_1562_0.115416,gcc_200_4784_0.195895,gcc_cpdecl_1410_0.113462,gcc_cpdecl_2233_0.212393,gcc_expr2_1803_0.132511,gcc_expr2_2551_0.190476,gcc_expr_906_0.126585,gcc_expr_1935_0.169612,gcc_expr_2549_0.130042,gcc_g23_3559_0.132538,gcc_g23_8992_0.177049,gcc_s04_6031_0.195783,gcc_s04_7945_0.123745,gcc_scilab_2089_0.107081,gcc_scilab_2811_0.193582,gcc_typeck_830_0.213933,gcc_typeck_2716_0.167439,GemsFDTD_30385_0.26818,GemsFDTD_59041_0.203022,gobmk_13x13_6366_0.127036,gobmk_13x13_6530_0.0938211,gobmk_13x13_8061_0.121121,gobmk_nngs_5856_0.131659,gobmk_nngs_18098_0.115927,gobmk_nngs_24124_0.116234,gobmk_score2_8112_0.0859495,gobmk_score2_11729_0.0907989,gobmk_score2_13713_0.140442,gobmk_trevorc_2978_0.106385,gobmk_trevorc_6458_0.0856965,gobmk_trevorc_7017_0.0679508,gobmk_trevorc_9654_0.0807027,gobmk_trevord_4165_0.107105,gobmk_trevord_7886_0.136275,gobmk_trevord_10532_0.0955869,gromacs_1290_0.0624047,gromacs_2830_0.0861876,gromacs_20417_0.0508166,gromacs_35112_0.129118,h264ref_foreman.baseline_369_0.0950515,h264ref_foreman.baseline_793_0.139477,h264ref_foreman.baseline_17931_0.0787722,h264ref_foreman.main_3807_0.0753887,h264ref_foreman.main_12369_0.068551,h264ref_foreman.main_13468_0.0702931,h264ref_foreman.main_16107_0.0930709,h264ref_sss_23954_0.0650214,h264ref_sss_62882_0.0607356,h264ref_sss_94143_0.125254,h264ref_sss_184465_0.0633887,hmmer_nph3_2887_0.236683,hmmer_nph3_9545_0.231614,hmmer_retro_12637_0.101057,hmmer_retro_67522_0.103126,hmmer_retro_77093_0.0915236,hmmer_retro_95209_0.0949077,lbm_7139_0.400131,leslie3d_68289_0.182714,leslie3d_80645_0.178993,libquantum_64624_0.24316,libquantum_72640_0.114092,mcf_9294_0.130425,mcf_10688_0.135073,mcf_12253_0.137576,milc_5116_0.0653177,milc_17368_0.149566,milc_31721_0.115315,namd_6460_0.0474617,namd_13387_0.0692055,namd_29146_0.0498399,namd_41738_0.0651491,namd_58329_0.0520122,namd_68104_0.0455261,omnetpp_20261_0.361193,perlbench_checkspam_20915_0.130776,perlbench_checkspam_31059_0.134132,perlbench_checkspam_32626_0.107572,perlbench_diffmail_18104_0.59204,perlbench_splitmail_25006_0.476437,povray_10202_0.10066,povray_13677_0.0880916,povray_34014_0.0598723,povray_37386_0.0604006,sjeng_983_0.128528,sjeng_82720_0.120833,sjeng_84999_0.143722,soplex_pds-50_2406_0.0668998,soplex_pds-50_5746_0.0724031,soplex_pds-50_6802_0.0838684,soplex_pds-50_16031_0.0783077,soplex_ref_14255_0.329014,sphinx3_41852_0.0724912,sphinx3_82338_0.0994892,sphinx3_142675_0.0883778,sphinx3_182227_0.0733317,tonto_23672_0.114033,tonto_50255_0.0743642,tonto_70839_0.0880291,tonto_111730_0.0729691,wrf_8021_0.0652165,wrf_35600_0.0871054,wrf_102864_0.11641,wrf_125157_0.0671993,xalancbmk_3933_0.0617017,xalancbmk_6580_0.0330346,xalancbmk_8082_0.0971231,xalancbmk_13669_0.0408806,xalancbmk_25293_0.051215,xalancbmk_36054_0.031181,zeusmp_16125_0.0639645,zeusmp_29834_0.0657873,zeusmp_42748_0.0669393,zeusmp_60362_0.0636606,zeusmp_78888_0.0862944
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,1.8933422067935932,2.358279691305859,1.693602738081145,3.942374314642865,1.7664065838922611,1.396832180329908,1.7563206243930265,1.566737023582832,4.646874315312215,5.269439884915439,5.219626791408806,1.9286618965724407,3.07039321295755,1.6061944944662212,4.251683082062381,2.370144802811655,2.399692455291912,4.942826808018354,2.9817079670491453,1.3398022357421713,4.160640913543741,3.7662231939077575,4.563855080222324,3.7491728387424526,4.061811434040949,5.3355054178061305,5.12842655786198,5.180071225993602,5.139130135372403,5.017194174435791,4.966550532165863,4.944898276060718,4.08684756281843,2.803578740405277,1.8160512598628609,2.230521136753927,2.1072093546627917,2.8584027591584635,4.044811466234411,2.081187317245757,4.106429416326466,2.1007029687027834,2.620324147133792,4.127424320063596,2.165862247499756,2.098591289188698,1.845941456315411,1.6504389754406465,1.7180797876452851,1.8675411802188535,2.0792345298461106,1.615243815816646,1.2611486520145532,1.5228278728030735,1.3957501916888515,1.640575044492393,1.4597306695002956,2.067291553525568,1.5230221938601645,2.101977373044188,1.8720722312825313,1.7263848158179727,1.4384704055241861,1.5540153359603452,1.551921585138677,1.5005945354062942,1.4645881910376997,1.5441302578287175,1.9003489420378428,1.7959675145428455,1.7908375347142784,1.5758155299637822,1.8046125549820495,4.045962129794465,3.674033164395165,3.9411750100352165,4.314925001213573,4.163095528272938,3.8890016483536782,4.236992066869887,4.54673244575067,4.363620416590394,4.735903523962133,4.61844677008909,5.19427627257789,5.1765104473617525,4.6806824248089285,4.7194276655681415,4.6673167460032605,4.750259601700213,2.193434632735107,2.8115357311047227,3.167335264880342,4.291505583143988,4.238750094577092,0.41040406204767066,1.8487697915438006,0.46505787051381703,0.8436875236206142,0.6832939681905412,1.1099788338093848,3.1019482865076307,2.9303010692223177,3.0365603420017524,3.0992410736077245,2.888723284711279,3.1524766811218283,0.9057200053346895,2.5604170048550623,1.8508332730270067,3.188061567222766,2.5353935945803414,3.6453994701048127,2.935028595982181,2.9392365565892855,2.7053451668738058,3.2228642884076795,2.0267435896890236,2.1901575642997346,2.1420605871066174,1.5319142238118049,1.452962405536543,1.371137120519749,1.164426437243699,1.5719354195483846,3.4626672511649277,3.5904538048415136,3.2335492374159154,3.571570439322852,3.9737507917698847,3.8938899002190315,1.3031199043926749,2.2975233735633447,3.135877617949016,3.8010332347092057,2.3641668937253204,2.279599114238924,1.841503392094777,2.913302046419378,2.8278538242695195,2.8705148396250935,2.930401652511852,2.6584215308674533,2.5985060666680613,2.512311396035195,3.2202064087903906,2.54643492250756,2.7818966388982354
global.l2cache_acq_hit_rate,0.7553381106543959,0.7843792045377549,0.9953923290529262,0.9776289837018582,0.6622785546709031,0.7968895714602916,0.7157320431567828,0.8227767765439994,0.9251783152492372,0.9997745371973363,0.9992805331131686,0.7487951214714271,0.9699416614904941,0.8152468217374012,0.9369893871853039,0.8065522620904836,0.995475113122172,0.9980281807570451,0.9101342430003524,0.9264797078481362,0.9960463316728733,0.9990270007297495,0.9972663021736231,0.9998429483823683,0.9922970570807822,0.9979383623196068,0.9979091162531363,0.9972733469665985,0.9866654969734188,0.9895828940154359,0.9956029313790806,0.9895382395382395,0.9000460920524133,0.49798963915456523,0.9453264933484045,0.8306235021113098,0.9963724356275218,0.3990984143230205,0.9502498661431376,0.9449529683706407,0.9584189466854115,0.9788730567822659,0.35785175304694533,0.9865146332193082,0.952669820310373,0.8916341630542797,0.7733540066415973,0.8586628788538961,0.7586842893311192,0.8865422803243422,0.9687499497014007,0.6969144996377103,0.6388245691559876,0.8817666527180735,0.90239788388185,0.8967036130703901,0.8720701504917644,0.9977066557945163,0.8462509247573872,0.9966406352253392,0.9861542591953362,0.6498097195124666,0.8745315317140369,0.88176905260836,0.897821900092111,0.8412743471045506,0.8459900638750887,0.8699981484148374,0.9750684536676755,0.9969143128412058,0.9953975995093888,0.9956151155343154,0.9926220494591208,0.8814312386264269,0.9214002642007926,0.8490071068572428,0.9634415240783207,0.8700388107791447,0.9315017093304427,0.7921307544252674,0.8188315624900291,0.949392633989211,0.9890260631001372,0.8602421980755863,0.9419097128773177,0.9523085171377629,0.988137339055794,0.973331059766391,0.9727865605900229,0.9861616402026453,0.9107697605512679,0.9374190945976941,0.9528276908715222,0.999962500320721,0.9998918410811172,0.5493143445076357,0.9085425527474108,0.7379350107677263,0.9263113513725516,0.3752281517468415,0.4771949696922484,0.9748656057531419,0.9956994597668467,0.9953639714351532,0.965184980673661,0.9900001968465187,0.9741430311466852,0.5438844162733077,0.7016063743661852,0.7660866731834474,0.7386468952734013,0.9981012067194455,1.0,0.9972720095675079,0.9967423445095975,0.9974354590528296,0.9981065668716029,0.7149437295218196,0.7147495361781077,0.7312716399118665,0.7476693365103826,0.7428758809190749,0.7220301907295079,0.6809890986439777,0.9892506662486283,0.903086827272762,0.9010053214117788,0.8555611541317493,0.8817745044660594,0.9478970876533479,0.9425847720780027,0.9735014566106582,0.9699141714858603,0.9645610160132524,0.9404408945996963,0.9690278862382548,0.8520368550258282,0.8247573411760352,0.9921444442904592,0.9828041141816476,0.7551323498038959,0.8329931461229401,0.7262690250925545,0.8985218614679067,0.9469952863494971,0.9476987678572414,0.954449141061074,0.9718613149270613
global.l2cache_hit_rate,0.6464680125703852,0.6473363098567242,0.8649179436032278,0.9325216749677181,0.6711675617078222,0.7529379125151134,0.6980662606567424,0.797538772955856,0.8007409422944094,0.9989852205788584,0.9970727742607326,0.5316189713828297,0.9056887273743798,0.7905546496527425,0.7118579690620391,0.8326143226919759,0.9544502617801047,0.9617405957527807,0.6981997455796892,0.765559282038957,0.9872910404471866,0.9925301308663612,0.9833798072941111,0.9985726106743897,0.987568240910269,0.9940352096363215,0.9826858308429391,0.9814184170228327,0.9683756588404409,0.946329215627197,0.9726173069254287,0.9797835084368036,0.907427735089645,0.3725742592900071,0.966707125582067,0.7183491564144336,0.9941172262219262,0.314405469692409,0.9473669557470384,0.7715391890031923,0.9658184580326623,0.9095294217034661,0.28862931415679277,0.9762356863313524,0.8647154185464919,0.7058881749766808,0.6745420115958839,0.8499149371889829,0.8147658573855249,0.8449324429944663,0.8913719059098251,0.48531852244606066,0.4915839387841055,0.919585613386106,0.901784930017295,0.92795029091829,0.9055335209825998,0.9974080724490593,0.8838277770914589,0.9940670113877514,0.9823664872697164,0.5596803225574195,0.8832109250964852,0.9116411687157004,0.8877987066064045,0.8721142885774054,0.8764686155367729,0.8886395290482286,0.9804263025912511,0.9839213619433566,0.9823126291743718,0.9920181249842933,0.9600691888708965,0.7394161000971262,0.6978915577634142,0.6197851319728527,0.973437713568984,0.7803913014499603,0.9001172926903751,0.6680293225059933,0.8992968643952762,0.9623741538429872,0.9993428362186351,0.9308834012104372,0.8026986552104921,0.8169137421561141,0.9564057288601138,0.886352145707063,0.8967782919279802,0.952804647250552,0.6469401313522889,0.6470331448586699,0.7390558053308557,0.7232410418865071,0.7144517615885192,0.6018097356095465,0.6534404404810734,0.7059471173713587,0.5620852988613075,0.191581568324042,0.40906220753379435,0.953170200780974,0.9921037482265164,0.9898972471436239,0.9402327388510888,0.9826318472166491,0.9471770967405294,0.552483635086545,0.7989939538721078,0.8658291953600207,0.6716988343206574,0.9961690476396996,0.7468487394957983,0.9969645364255629,0.9966584683853777,0.9960926275180754,0.9979617083457872,0.7058128201406026,0.7127941530800739,0.7193054685402309,0.5547835481393327,0.6004356837781604,0.6345279406485581,0.6084696997742841,0.6222248535071395,0.624302865565077,0.6404021311561809,0.6471483827156622,0.6836744672455071,0.9279251274899394,0.9271915155782433,0.9420347178397789,0.8218684521673358,0.908341772545865,0.7596369467164857,0.9029748915835705,0.6389412803233852,0.4582769113091104,0.8031068717896297,0.7385930125115501,0.7764791951340435,0.9143026348489576,0.7783445407637927,0.9041002331965329,0.8931418003868326,0.8695768784509449,0.879429179819564,0.704910488287542
global.l2cache_mpki_load,8.7522464991014,5.5173008275951245,29.7963970203603,0.1829,16.10715080535754,14.426399278680035,7.4142996292850185,8.621697413490775,1.903999714400043,0.018699999065000045,0.04610000691500104,0.46809990638001875,0.8096999595150021,7.507595870822271,4.855150485515049,0.0388,0.004350001740000696,1.3668002050200307,26.48845,1.0730003755501314,0.2169000325350049,0.025999998700000065,0.03010000752500188,0.00345,0.07435000743500074,0.025750002575000257,0.03649999635000036,0.04065000813000163,0.029700001485000075,0.13359999332000033,0.02059999897000005,0.006349997777500778,0.3921500392150039,18.327200916360045,0.73785,5.264350263217513,0.5591501118300224,15.146596970680607,0.37810009452502363,30.87359691264031,0.1980000099000005,9.798899510055024,22.03989559202088,0.3279,2.1529996770500484,45.16814774159261,11.953604183761465,3.7669994349500846,6.24290156072539,4.2160002108000105,11.79724941013753,27.276601363830068,29.394108818232645,0.4195499580450042,1.621300081065004,0.45569997721500116,0.7383499261650074,0.008299996680001328,0.9874,0.01985000893250402,0.06814999659250016,6.115602446240978,1.809599819040018,0.4323001296900389,1.866849719972542,1.0209497447625637,1.0866502173300434,0.9874495556477,0.0702499929750007,0.31879996812000316,0.3658501280475448,0.20645003096750464,0.7595002278500683,1.3683,2.67585,3.257699837115008,0.4955499752225012,1.8122001812200181,1.4391502878300575,1.197799700550075,0.9273498608975209,0.7311998537600293,0.0118,0.7611500380575019,1.9564495108876223,2.2057497794250223,0.3333000166650008,0.93285,0.8286998756950187,0.3591000179550009,35.765003576500355,20.41615,14.814652962930593,25.545361495412674,25.647794870441025,127.85093721490628,28.60085143004257,194.04632089305187,45.1397,94.09171881834376,32.802106560421315,0.24524991416253003,0.08709995209502634,0.07905000790500079,0.3153498896275386,0.16015008808254844,0.3037001062950372,41.986489503377626,1.632349918382504,3.9395505909325887,0.2577000644250161,0.06625001325000265,0.012049998192500272,0.04669999766500012,0.045650013695004106,0.05915,0.02455,0.7092999645350018,0.7151999284800071,0.7840499215950079,52.7488131872033,50.07350751102613,47.64630714694607,57.216277113489156,32.0641,15.217650760882538,15.01055675475054,16.3157,13.747651374765137,0.42895002144750105,0.33090013236005295,0.6521501630375408,8.760748685887696,1.9142505742751723,8.01224879816268,0.8781504829827657,11.227500561375027,62.748290587756415,15.409246147688464,26.168801308440067,5.5453486136628465,3.241399513790073,7.706647302673444,5.455100818265123,5.919801183960237,4.4738,3.87299845080062,6.091400609140061
global.l3cache_miss,55582,4804,203109,83,48782,10173,6540,5885,7838,358,815,8585,3198,4171,56500,725,86,1388,73239,18079,916,482,589,47,1268,495,697,767,551,2429,412,83,7471,28691,11414,20936,4245,36087,6669,4216,3814,5129,54091,5219,15524,3020,6611,45232,13398,44856,6120,487514,517645,7227,11503,8493,11354,153,11218,368,1006,110558,18838,7423,6668,13046,14174,9329,1344,2267,3156,2311,5542,1967,8322,21023,1946,17300,4945,20262,6413,4065,216,2708,265,609,947,441,4502,859,175891,305655,78378,1229,1209,696265,262009,1566318,360977,1880531,518260,2955,1121,1208,4195,1949,3228,417974,27733,55499,4904,1185,3,882,838,1072,441,12395,12894,14111,48659,63925,105443,276348,637395,16185,4631,25391,16954,4968,3691,9205,217,9033,48246,15992,108099,26647,2082,1965,24262,45458,71901,58870,56334,38895,27347,96003
global.l3cache_total,175045,110346,595928,3658,322143,288527,148286,172435,38079,374,922,9362,16194,150153,97103,777,87,27336,529770,21460,4338,520,602,69,1487,515,730,813,594,2672,412,127,7843,366544,14757,105287,11183,302932,7562,617471,3960,195976,440798,6558,43060,903365,239070,75340,124858,84320,235945,545533,587882,8391,32426,9114,14767,166,19748,397,1363,122308,36191,8646,37337,20419,21733,19749,1405,6376,7317,4129,15190,27366,53517,65154,9911,36244,28786,23956,18547,14624,236,15223,39129,44115,6666,18657,16574,7182,715299,408323,296293,510908,512955,2557019,572017,3880925,902795,1881834,656042,4905,1742,1581,6307,3203,6074,839730,32647,78791,5154,1325,241,934,913,1183,491,14186,14304,15681,1054976,1001470,952924,1144328,641282,304353,300212,326314,274953,8579,6618,13043,175215,38285,160245,17564,224550,1254967,308185,523376,110907,64828,154133,109102,118396,89476,77460,121829
global.T_DCache,250.05668910434062,271.16226912290966,680.1153695618633,259.0492404523086,356.44399938847,263.7320758678186,229.47993083258464,260.8057149535917,371.9591995202568,488.11677499756286,448.09672596250584,284.1600380177757,240.09239672425906,249.65968307069525,573.5964314769988,102.7152345678983,103.24858688054015,476.8777384191404,558.2674439979337,119.61784271533527,515.3459280113319,345.20985545236107,379.87593887079703,315.5104705024454,334.00534818765004,493.7478231802657,469.19981373556607,472.267370465818,385.2417783549592,358.1330499622205,385.8714915047157,357.2003380331278,204.85944696364564,286.7435525746036,186.21144557226273,201.44663221403547,422.8717021113399,292.7875721246332,227.75102965757628,424.5862787333895,208.91032974424542,426.15389350045683,285.4434823052821,267.69451859476885,189.592469471364,430.3248457561712,205.46102330169634,167.14730809317388,187.64158510080836,181.88207373277052,417.5085427945431,175.78276003347108,169.3671087540516,210.36255391000483,193.44246434782767,261.188416753289,204.70754510622058,360.5746654761829,208.23905721880155,358.3594160115676,306.37705985267354,232.3839301822079,202.5574557028477,222.76176518168543,224.04390820043778,220.456729842181,206.13969025271695,199.91587026254294,336.88733212319124,176.41514144140746,176.25347809872085,207.94946926131036,177.99599448077132,486.88748341155525,364.7562725390453,414.3621297241631,478.8349772118035,500.0719907529313,432.62089323774427,458.06333496528106,558.8268268086217,480.8832175410524,534.3249734375011,558.7483195780587,567.6181356033007,571.1944926075556,521.0617417147821,525.4502329273524,519.8539951525255,529.8727728406744,465.45546685670587,358.44473265809614,393.33017085401667,599.8193773151341,589.5886705014631,180.63880058932375,281.03413088033614,356.583064264454,144.25827704918095,242.02579811057564,181.07558258083228,232.96626027539398,233.9417183949988,231.3542049304939,226.74666548895547,230.9864712347999,242.71274496328624,226.72728745756987,319.36950656158035,273.2186865337608,370.9311478953289,415.58966370532636,386.2112231625731,387.9799924980673,375.9308573785,369.13658259716385,386.13787800169524,248.92532271076536,206.28722687095285,202.5245218251854,352.16364769701914,342.8127545999162,348.14779955425695,498.67285597884705,364.32036452553604,373.597548708477,394.12473960222064,377.7432426096424,390.13978735224634,345.379209493768,334.8793006570942,77.39316531682958,234.37169901942866,550.3070495490764,363.762450662596,466.77353053648295,230.0153116120961,353.34297433874616,451.0924810023621,535.750136479302,371.4775589664599,423.2367312898278,347.7038221708025,222.75049257938014,248.12785356236407,341.9790783189621,265.2641302572242,223.11126627913916
