header.cases,astar_biglakes_3267_0.388983,astar_rivers_9999_0.357816,bwaves_37801_0.706046,bzip2_chicken_2820_0.251106,bzip2_chicken_3301_0.196239,bzip2_combined_7116_0.197169,bzip2_combined_12694_0.14641,bzip2_html_9573_0.165534,bzip2_html_12894_0.292959,bzip2_liberty_4623_0.329457,bzip2_program_1805_0.0897391,bzip2_program_16771_0.176121,bzip2_program_19673_0.104288,bzip2_source_8439_0.308769,cactusADM_128904_0.670681,calculix_3486_0.0949495,calculix_13476_0.16078,calculix_28512_0.138631,dealII_5820_0.110044,dealII_29521_0.100244,dealII_55586_0.124194,gamess_cytosine_43625_0.083133,gamess_cytosine_49357_0.0811089,gamess_cytosine_52071_0.0713518,gamess_cytosine_60738_0.0766336,gamess_gradient_32473_0.0898009,gamess_gradient_33957_0.0960057,gamess_gradient_39862_0.11873,gamess_triazolium_48031_0.0998406,gamess_triazolium_63874_0.0812589,gamess_triazolium_175608_0.0779786,gamess_triazolium_193880_0.109002,gcc_166_2274_0.148349,gcc_166_2766_0.161613,gcc_200_1562_0.115416,gcc_200_4784_0.195895,gcc_cpdecl_1410_0.113462,gcc_cpdecl_2233_0.212393,gcc_expr2_1803_0.132511,gcc_expr2_2551_0.190476,gcc_expr_906_0.126585,gcc_expr_1935_0.169612,gcc_expr_2549_0.130042,gcc_g23_3559_0.132538,gcc_g23_8992_0.177049,gcc_s04_6031_0.195783,gcc_s04_7945_0.123745,gcc_scilab_2089_0.107081,gcc_scilab_2811_0.193582,gcc_typeck_830_0.213933,gcc_typeck_2716_0.167439,GemsFDTD_30385_0.26818,GemsFDTD_59041_0.203022,gobmk_13x13_6366_0.127036,gobmk_13x13_6530_0.0938211,gobmk_13x13_8061_0.121121,gobmk_nngs_5856_0.131659,gobmk_nngs_18098_0.115927,gobmk_nngs_24124_0.116234,gobmk_score2_8112_0.0859495,gobmk_score2_11729_0.0907989,gobmk_score2_13713_0.140442,gobmk_trevorc_2978_0.106385,gobmk_trevorc_6458_0.0856965,gobmk_trevorc_7017_0.0679508,gobmk_trevorc_9654_0.0807027,gobmk_trevord_4165_0.107105,gobmk_trevord_7886_0.136275,gobmk_trevord_10532_0.0955869,gromacs_1290_0.0624047,gromacs_2830_0.0861876,gromacs_20417_0.0508166,gromacs_35112_0.129118,h264ref_foreman.baseline_369_0.0950515,h264ref_foreman.baseline_793_0.139477,h264ref_foreman.baseline_17931_0.0787722,h264ref_foreman.main_3807_0.0753887,h264ref_foreman.main_12369_0.068551,h264ref_foreman.main_13468_0.0702931,h264ref_foreman.main_16107_0.0930709,h264ref_sss_23954_0.0650214,h264ref_sss_62882_0.0607356,h264ref_sss_94143_0.125254,h264ref_sss_184465_0.0633887,hmmer_nph3_2887_0.236683,hmmer_nph3_9545_0.231614,hmmer_retro_12637_0.101057,hmmer_retro_67522_0.103126,hmmer_retro_77093_0.0915236,hmmer_retro_95209_0.0949077,lbm_7139_0.400131,leslie3d_68289_0.182714,leslie3d_80645_0.178993,libquantum_64624_0.24316,libquantum_72640_0.114092,mcf_9294_0.130425,mcf_10688_0.135073,mcf_12253_0.137576,milc_5116_0.0653177,milc_17368_0.149566,milc_31721_0.115315,namd_6460_0.0474617,namd_13387_0.0692055,namd_29146_0.0498399,namd_41738_0.0651491,namd_58329_0.0520122,namd_68104_0.0455261,omnetpp_20261_0.361193,perlbench_checkspam_20915_0.130776,perlbench_checkspam_31059_0.134132,perlbench_checkspam_32626_0.107572,perlbench_diffmail_18104_0.59204,perlbench_splitmail_25006_0.476437,povray_10202_0.10066,povray_13677_0.0880916,povray_34014_0.0598723,povray_37386_0.0604006,sjeng_983_0.128528,sjeng_82720_0.120833,sjeng_84999_0.143722,soplex_pds-50_2406_0.0668998,soplex_pds-50_5746_0.0724031,soplex_pds-50_6802_0.0838684,soplex_pds-50_16031_0.0783077,soplex_ref_14255_0.329014,sphinx3_41852_0.0724912,sphinx3_82338_0.0994892,sphinx3_142675_0.0883778,sphinx3_182227_0.0733317,tonto_23672_0.114033,tonto_50255_0.0743642,tonto_70839_0.0880291,tonto_111730_0.0729691,wrf_8021_0.0652165,wrf_35600_0.0871054,wrf_102864_0.11641,wrf_125157_0.0671993,xalancbmk_3933_0.0617017,xalancbmk_6580_0.0330346,xalancbmk_8082_0.0971231,xalancbmk_13669_0.0408806,xalancbmk_25293_0.051215,xalancbmk_36054_0.031181,zeusmp_16125_0.0639645,zeusmp_29834_0.0657873,zeusmp_42748_0.0669393,zeusmp_60362_0.0636606,zeusmp_78888_0.0862944
global.dwpu_pred_mpki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global.IPC,1.9011695138738314,2.348843488360895,1.6918893334799638,3.9503231068027134,1.7552224240240852,1.389326982256906,1.7390634619197178,1.5691792989504232,4.6383722194997565,5.270831977192054,5.220183421584884,1.9274282917312475,3.0591013677392436,1.607934557742667,4.261420872564146,2.370175138166397,2.3998450659405695,4.945803867669049,2.975607154254785,1.3373941761411603,4.163245382025527,3.7649576141008225,4.546625425734724,3.7522028710726403,4.063129251811241,5.3343959450055785,5.12532625901705,5.164120668980881,5.144730302880638,5.002420921726116,4.952537605854295,4.9450386318664625,4.074736558160534,2.7921642362500894,1.8209858052335497,2.21670371149501,2.1033501001878188,2.856110883336325,4.050077184353659,2.0431018992168277,4.140600308433348,2.0913871440328013,2.6282229563139494,4.155064514647953,2.161256861449192,2.001170884850549,1.841945105958861,1.6555192849747418,1.7165820963929461,1.867994935864716,2.0742413616649853,1.6139826913259563,1.263039953419096,1.5213116684417833,1.3919786253319522,1.64680198054287,1.4587773548133458,2.065593329290279,1.5202990701775336,2.1157908311316755,1.8676692689839027,1.7174469832517947,1.443449474721519,1.5557561184384627,1.5451126471932028,1.4993335838719126,1.4615843665397086,1.54814730870819,1.9052950334774594,1.7970575880524435,1.790546094258837,1.5800507512352049,1.806998722542317,4.036529996468036,3.6653297376448606,3.926113681406868,4.3068257579150835,4.1702183025877035,3.8931475160164073,4.2574658407464705,4.534974283298441,4.366963176232537,4.736393992355457,4.6091210338809505,5.187139526258594,5.174113855346257,4.6862905121109,4.72406141752556,4.6687026097576805,4.749076601418312,2.1958998810041677,2.789811611052951,3.1849916497477246,4.2646585383692415,4.216109844872408,0.4058764920834586,1.8367752659879784,0.4585357386405113,0.884083591493032,0.6899954163595324,1.1395357211473487,3.1036269590861436,2.9321718615440866,3.0386888790705506,3.1024602656418625,2.8908928729911536,3.1495064957806833,0.9106656277187634,2.5452160933544774,1.843200478494916,3.1881442444414687,2.5304062517238397,3.6419485807873384,2.9365564293116506,2.92535543810575,2.707881748988065,3.2370232593069272,2.026199059073634,2.192237026397381,2.143236128277839,1.5331916919387827,1.4453274190535346,1.3655255494242706,1.1565438110225257,1.5750977407654143,3.453349732140915,3.5927776872596993,3.239057214518938,3.5829518832803147,4.043664708993597,3.8906236534792007,1.3028890204662429,2.2977577336761588,3.134295478512131,3.777151106440874,2.360017468854545,2.2759099062541,1.838039848332319,2.919792729805514,2.827335378438746,2.87528247850475,2.9263340898393166,2.660535728134753,2.5792540281499785,2.4731564778782293,3.215264532674161,2.5687136061427194,2.7834996938150645
global.l2cache_acq_hit_rate,0.7492205524724076,0.760136605942165,0.9955344183825817,0.9798131811105345,0.6602002676387799,0.793936627163378,0.7083923746906233,0.8191404397029923,0.9235574784683191,0.9998630898211309,0.9993151170205229,0.8006503744580212,0.9614246935521175,0.8139133142761451,0.9459485156045733,0.8001573564122738,0.978448275862069,0.9982487668399832,0.9029401792201501,0.9223551247679934,0.9950918388961176,0.9993136027778899,0.9931363576938161,0.9997908496732026,0.9945086324298203,0.9980710214818063,0.9964975552241911,0.9957217864782524,0.9870310732004526,0.9864996815962641,0.9897538256819693,0.9961308476960957,0.8938707680276321,0.49955816629476346,0.9463409559805128,0.8185532122468578,0.9975049131516822,0.38901405912040377,0.9506853419219534,0.9079478044374176,0.9617133676442556,0.9753897094089546,0.36108601199630885,0.9895299112781726,0.9468023797820229,0.7910870361420717,0.7629342798752285,0.8564764354536338,0.7613018412767639,0.8814589037557473,0.9637656960198535,0.7510428265792536,0.6957213297280102,0.8796299865099249,0.8964627820233769,0.8989916400930794,0.8720985203044486,0.9983397897066962,0.8440057150279257,0.9966841186736475,0.9857099189974018,0.6497795722068014,0.8729950733912337,0.8798792163794373,0.8969152529789525,0.8397731999387027,0.8418383903942885,0.8636223006002104,0.9744709439032583,0.9984709842594348,0.997126671728085,0.9969675763937486,0.9938244038125374,0.8804925898787435,0.9154237131503558,0.8443680950654836,0.9577558047143993,0.862980638371228,0.9316397709526288,0.7920256274686654,0.8380578342254458,0.9519718255350439,0.9897756752632382,0.858214470475205,0.9381545709987795,0.9446043793073367,0.9801305169156792,0.9664367501326442,0.9802069968351723,0.9879232813245213,0.9116140549996643,0.9333555901968155,0.9536974141152913,0.9999822389570716,0.9998859432980872,0.530368053818382,0.906208611758941,0.7026052186353626,0.9246932315123034,0.3739088806928031,0.4723642643528074,0.9711668686292679,0.9956850438627772,0.9941755372564772,0.9728663870913989,0.9908862843479284,0.9758365597345132,0.5484713602775555,0.7197820620284996,0.7834311212874185,0.7341538461538462,0.9970665063438096,1.0,0.9977302862491225,0.9961444376214301,0.9971466198419666,0.9981022973365185,0.7158004849983358,0.7080710588893552,0.7298927089043777,0.7497034416327758,0.7370671378091873,0.7220579989273002,0.677993724307363,0.9878836846275131,0.8968613628734474,0.901576341117688,0.8510016069628402,0.8697825534407243,0.9576614536909489,0.9388926820184966,0.9669454051924171,0.9735007442409201,0.9614962527504646,0.9412833193670107,0.9726936617496751,0.8505630949332686,0.8228792711778623,0.9924234726866306,0.9822409200237937,0.7204727596535254,0.8418558650596124,0.7444541201951524,0.8811166445835428,0.9457300240436602,0.9422458097175465,0.962174928107475,0.9726539573506076
global.l2cache_hit_rate,0.6417715286577934,0.6311080478930581,0.8652337623361782,0.934722598105548,0.6662347409211352,0.7464924416497426,0.6866090344086669,0.7931645005639293,0.7946897546897547,0.9992840483809731,0.9970772787843515,0.5438418406805878,0.8950466710315138,0.7858451589225739,0.7069697832659764,0.8353388220392653,0.956628881222277,0.9663183196030364,0.6894598123994713,0.762448801266998,0.9856503768398525,0.9920283311699306,0.9831680514607344,0.9986134162482405,0.9878782118850546,0.9940219689782482,0.9835729908325189,0.9819187601435527,0.9694149631411094,0.9472533963378618,0.9705946575442171,0.9784928309436479,0.9073403377918027,0.36388427308778404,0.965015694041672,0.6969366651386416,0.9948459412050059,0.30747576838539975,0.9507573949161443,0.6548018546630142,0.9667894408354504,0.84363561246978,0.2858473404642363,0.9785600458378843,0.8509272535632555,0.49679092875579944,0.6577678541222639,0.8423702168498772,0.8118389895065046,0.8413128784085219,0.8316396668954977,0.5244691206414274,0.5089764246129356,0.9121846785755803,0.8888136535938624,0.9306623425995608,0.9026619567274333,0.9979598511158524,0.8749311134959539,0.9949642991356633,0.9828893893505216,0.5580958605038637,0.869620987887903,0.9109868061044567,0.8705809007993718,0.8692673785841488,0.8678480535394476,0.8825424461867744,0.9802379678043559,0.9849152004065299,0.9840724946181088,0.9920447905045952,0.9601298208420034,0.7442721266925925,0.6989427871352444,0.6205878119692565,0.9716540082123399,0.7740754680329263,0.8969506516879013,0.6688352451064316,0.894242881994623,0.9610155200466195,0.999363083897704,0.9284276961722165,0.7728086644690165,0.8113916082398142,0.934581375176396,0.8622437309641615,0.8989130838001261,0.9531073739351426,0.6471185066935916,0.645788126189993,0.7304049669551479,0.7229568209838908,0.722441532162175,0.5875942294000361,0.6526594550015626,0.6735257520952382,0.561132782243645,0.19324859381843887,0.40999578733307646,0.9537102473498233,0.9922457283085653,0.9904328928633878,0.9431877275091004,0.9828037784456849,0.9481020647371743,0.5476807723591839,0.7943929288671807,0.8518522289016596,0.6816934057219545,0.9961487360982259,0.7507788161993769,0.9975082625882963,0.9967649212944731,0.9960187578392081,0.9980006139193774,0.6834710743801653,0.692830097962618,0.7047585662956796,0.552850684269708,0.5959530480673534,0.6300262003604981,0.6037577173482418,0.6190153292450604,0.619532913441256,0.6391823712095936,0.6443928692860248,0.6698914400563759,0.9271900749774393,0.9253197262732294,0.9357436607947923,0.8226455806390685,0.9061215953839098,0.756724832133768,0.902411205272032,0.6395273684363219,0.4559418404862318,0.742952430550076,0.7280286651125222,0.764170182483607,0.9146382952810994,0.7742256435178063,0.8829390257574088,0.889980293195271,0.8628403319782381,0.8797359754030964,0.7010183844553407
global.l2cache_mpki_load,8.876399556180022,5.753699136945129,29.79446042806115,0.1809,16.343403268680653,14.723249263837538,7.803201950800488,8.8667986699802,1.9563493152777396,0.013200001320000132,0.04595,0.4718499056300189,0.9056998188600363,7.70254576359983,4.836199274570109,0.039,0.004400001760000704,1.1967002991750748,27.299659554880844,1.0874503806076332,0.24874992537502238,0.028250004237500636,0.03140000628000126,0.0032999995050000744,0.0701500070150007,0.02615,0.03529999647000035,0.039550001977500096,0.029250007312501828,0.13395000669750035,0.02019999899000005,0.006449998065000581,0.38759990310002423,18.719553743910748,0.7763,5.68565227426091,0.4897999755100012,15.37569615607596,0.3610000361000036,53.92771078554216,0.18890001889000188,18.507501850750185,22.082845583430885,0.29935,2.354849646772553,94.61028107794378,12.645055690275061,4.0157991968401605,6.3727496813625155,4.3573508714701745,19.52165292824794,24.743751237187563,28.00714439857112,0.4532498640250408,1.8391000919550047,0.44685,0.7715500771550077,0.00655,1.0779999461000027,0.016750007537503393,0.06610000661000066,6.153252153638253,2.03285,0.4391999780400011,2.1589496761575484,1.053449736637566,1.1917002383400477,1.0591501059150106,0.07199999280000072,0.296849970315003,0.3303500495525074,0.2096500209650021,0.7616499619175019,1.3645002046750307,2.6355,3.2951,0.5280999207850119,1.86085,1.4772998522700147,1.1606002901500725,0.9696498545525218,0.755950113392517,0.011450004580001833,0.7949498410100317,2.3535997646400237,2.1722501086125052,0.5053001010600202,1.1443000572150028,0.8174998773750184,0.36165,35.78850536827581,20.510543846836846,15.288950764447538,25.560351278017563,25.677607703282312,133.51412670282534,29.22894561565816,220.05678899716054,45.469636359109096,93.01401860280372,32.842856568571314,0.24234990306003878,0.08499995750002125,0.0765999770200069,0.3058998929350375,0.16020008811004846,0.28780010073003526,42.17964367305345,1.6585504146376036,4.3657006548550985,0.2609000782700235,0.06725001008750152,0.01199999940000003,0.038450001922500095,0.04395001318500395,0.06014999097750135,0.0241,0.766000038300002,0.7666499233350077,0.8422500842250085,52.98821324705331,50.76755,48.51249514875048,58.259820390937136,32.13801446210651,15.349450767472538,15.086206788793055,16.524842563820847,14.568451456845146,0.4316500431650043,0.3454000690800138,0.7304502191350657,8.63864784033804,1.975150098757505,8.0631,0.8855502656650797,11.18260391391137,62.87029371297063,21.989244502688873,27.49209312697672,5.799349420065058,3.224149355170129,7.85145,6.2129,6.0797012159402435,4.54805,3.95650019782501,6.143249385675062
global.l3cache_miss,54802,3303,203272,77,48990,10389,5992,5935,8037,251,783,8606,3264,4116,56211,716,81,1396,74320,18321,808,494,610,51,1250,496,678,756,546,2372,399,80,7443,30812,11269,20726,4031,39283,6558,4175,3702,5010,55730,4969,15860,3038,8026,46495,12585,45128,6012,490490,527892,7419,11491,8545,11180,107,11588,311,952,110465,18932,7456,6780,12644,14403,9441,1414,2537,2997,2312,5528,1955,8181,20450,2111,18015,4635,20106,6646,4188,225,2759,271,585,924,456,4331,780,175905,307015,78389,1226,1176,700577,265892,1571192,367217,1860077,518645,2977,1084,1123,4095,1944,3131,410047,27505,54984,4917,1161,2,736,801,1091,448,12310,12959,14106,49283,71030,105704,277615,637468,16259,3684,24023,16622,4724,3617,9188,192,9022,49119,15920,108207,26141,2170,1964,26443,44847,71635,58767,57003,39270,27273,96528
global.l3cache_total,177528,115074,595889,3618,326868,294464,156064,177336,39127,264,919,9437,18114,154051,96724,780,88,23934,545993,21749,4975,565,628,66,1403,523,706,791,585,2679,404,129,7752,374391,15526,113713,9796,307514,7220,1078554,3778,370152,441657,5987,47097,1892206,252901,80316,127455,87147,390433,494877,560143,9065,36782,8937,15431,131,21560,335,1322,123063,40656,8784,43179,21069,23834,21183,1440,5937,6607,4193,15233,27290,52710,65902,10562,37217,29550,23212,19393,15119,229,15899,47072,43445,10106,22886,16350,7233,715770,410212,305778,511207,513552,2670282,584579,4401135,909393,1860279,656857,4847,1700,1532,6118,3204,5756,843595,33171,87315,5218,1345,240,769,879,1203,482,15320,15333,16845,1059764,1015347,970244,1165196,642762,306989,301724,330497,291367,8633,6908,14609,172774,39503,161262,17711,223652,1257407,439785,549843,115987,64483,157029,124258,121594,90961,79130,122866
global.T_DCache,251.36820375897315,270.62845975785774,681.4982429723123,259.5394895036952,353.93525246466186,262.6264802930924,227.24744722810607,261.0111093170164,371.3334336767506,488.41338717664433,448.2099933625368,283.9103402941428,239.6910479546164,249.58151982533983,575.0326371522121,102.72944296736446,103.2507603912133,477.0769500505832,557.55196237641,119.3157851553073,514.657015711667,345.16028179958977,378.8129176928781,315.8526337552247,333.34321378116067,493.5646007351331,468.99981266934395,470.39969263152244,385.1723073503809,357.0113214795961,384.7081573738081,357.5154570734924,204.1454240516155,285.344588735765,186.45514775387775,200.3612678752288,421.72295283837093,293.53606917270344,228.00389374459442,418.5530116094181,209.3423595668683,424.8240685222152,286.479676350177,269.9654311097575,189.31453674114502,414.8564863588713,205.14142663501713,167.74563547260595,187.7087756822126,181.90281287403687,416.94392266895164,175.91209862467687,170.0653331282999,209.67790890297184,193.08601955061917,262.2536317129927,204.54301241930224,360.1745938630396,208.13343725083726,360.3613856997442,305.7947093219958,231.8342759258159,203.20391163260055,222.92250576913233,223.12012646436096,220.37171678825135,206.1042405101866,200.55527590851872,338.52076452241926,176.2826253750796,176.22139031448708,208.41295199331321,178.32921979129708,486.40749180079723,363.7734554987735,413.0232897063581,478.2784276298336,500.60021117985485,432.87251344693016,459.2664835813982,557.9645768676892,481.2709960891655,534.3448153042424,557.5556287381404,566.5920071375033,570.8015137388252,521.823906506611,526.2766131784786,520.0454059272905,529.4469372611363,466.28412621068213,355.6306865236098,394.58650509415554,595.9910416578264,586.8682035234884,178.7793076979525,279.6137203418238,352.62320359462655,151.1980183095425,244.4804436285017,185.83248867130337,232.86600095964107,233.85775044473695,231.5785169622601,227.2742262117779,231.39762778982157,242.15502663774788,228.05693608143645,316.99085338189946,272.18463563146673,370.40415734134194,415.4519260696155,385.6346229836808,387.93703435389443,374.38693278438046,369.84109935649906,386.98543663235637,249.04971543045892,206.64331408330193,202.62423858849883,352.19866244323356,340.9138415032272,346.8891617360389,495.9804007391011,364.8453411619927,372.7322883726745,394.3784069652494,378.1804170251896,390.5564242423265,351.7012993104742,334.54977752436844,77.51092150306273,234.42255294606935,550.2885955989161,361.473481755227,465.9500867955685,229.7530470745956,350.5559360501888,451.74502332402847,535.6310169922814,371.1758365885122,422.2879602884838,347.5990865316631,220.86866180563257,243.9756928240114,341.7228827804579,268.0747464872197,223.2193018983466
